Start,Norm,End,Param,OfficialStatement,Comment Jan,Comment Davide
12-3-2020,EncourageTelework,,,Business encouraged to telework,,
12-3-2020,AllowWearMask,,,The waiver of § 18.2-422 of the Code of Virginia.DDA:  ,,
13-3-2020,SchoolsClosed,,K-12,"K-12 schools (to end of academic year, so no enddate)",This distinction of k-12 is not yet made in the code. Will work on that,"It ""allows"" to wear a mask, there was a norm before that prohibited that"
15-3-2020,SmallGroups,,"100, public",Ban on public events >100 people,,
17-3-2020,EncourageSocialDistance,,,increase social distance,,
17-3-2020,SmallGroups,,"10, public",Reduce public gatherings with >10 people,,
17-3-2020,StayHomeSick,,,"if with chronic health conditions or aged more than 65, self-quarantine",,
17-3-2020,StayHome,,age>65,"if aged more than 65, self-quarantine",,
17-3-2020,ReduceBusinessCapacity,,"10, type on the right","restaurants, fitness centers, and theaters reduce capacity to 10 people, or close",We don’t have these data. Be creative? Or ignore,
17-3-2020,BusinessClosed,7-5-2020, 7 DMV offices,close Virginia’s 75 DMV offices to the public,Ignore: we don’t have this data,
23-3-2020,TakeawayOnly,7-5-2020,,restaurants,,
23-3-2020,BusinessClosed,7-5-2020,NEB,"non-esential business (NEB) closed Essential retail businesses as set out below may remain open during their normal businesshours. They should comply with the Guidelines for All Business Sectors expressly incorporated by reference and linkedhere, as best practices. Employers are required to provide face coverings to employees.a. Grocery stores, pharmacies, and other retailers that sell food and beverage products or pharmacy products,including dollar stores, and department stores with grocery or pharmacy operations;","We have designations of essential jobs. This norm practically means: Unless a person has an essential job, follow the reasoning we have already implemented. Otherwise, agent will go to work. This also changes the wearMask norm/suggestion to always comply for these essential workers",
23-3-2020,StayHome,10-6-2020,all,,,
30-3-2020,MaintainDistance,,,"Must at all times maintain social distancing of at least six feet from any other person, with the exception of family or household members or caretakers. Individuals may leave their residences for the purpose of:a. Obtaining food, beverages, goods, or services as permitted in Executive Order 53;b. Seeking medical attention, essential social services, governmental services, assistance from law enforcement,or emergency services; c. Taking care of other individuals, animals, or visiting the home of a family member;d. Traveling required by court order or to facilitate child custody, visitation, or child care;e. Engaging in outdoor activity, including exercise, provided individuals comply with social distancing requirements;f. Traveling to and from one’s residence, place of worship, or work; g. Traveling to and from an educational institution;h. Volunteering with organizations that provide charitable or social services;i. Leaving one’s residence due to a reasonable fear for health or safety, at the direction of law enforcement,or at the direction of another government agency.",,
30-3-2020,SmallGroups,1-6-2020,"10, PP","All public and private (PP) in-person gatherings of more than ten individuals are prohibited.This includes parties, celebrations, religious, or other social events, whether they occur indoor or outdoor.This restriction does not apply: a. To the operation of businesses not required to close to the public under Executive Order 53;or b. To the gathering of family members living in the same residence.A “gathering” includes, but is not limited to, parties, celebrations, or other social events, whether they occur indoors or outdoors.This restriction does not apply to the gathering of family members living in the same residence",,
30-3-2020,SchoolsClosed,1-6-2020,Higher,nstitutions of higher education shall cease all in-person classes and instruction,,
30-3-2020,BeachesClosed,7-5-2020,all,"Closure of all public beaches as defined in § 10.1-705 of the Code of Virginia for all activity, except exercising and fishing","We do not have this data, so ignore",
8-5-2020,,,,"Guidelines phase one. pshysical distancing best practices were defined for the business sector,e.g.,: tables six feet separated. encourage customers to wear mask while entering, clean tables, etc","@Davide, lets just as-sume it is. We don’t have this level of granularity in the data. The difference is that this would theoretically be enforced bythe business owner, while otherwise it is up to the individuals",Not sure if this is implicitly encoded by implementing the MaintainDistance norm
8-5-2020,ReduceBusinessCapacity,1-6-2020,"50%,<10 seated at a party,activities on the right","Personal Care and Personal Grooming Services, Restaurants, religious services, dining establishments, food courts, breweries,microbreweries, distilleries, wineries, and tasting rooms may operate delivery, take-out, and outdoor dining and beverageservices only, provided such businesses comply with guidelines above and:a. Occupancy may not exceed the 50% of the lowest occupancy load on the certificate of occupancy, if applicable.b. No more than 10 patrons may be seated as a party.All group outdoor activities may not have more than 10 guests, patrons, or members.If any such business cannot adhere to these requirements, it must close.N.B. All public access to recreational and entertainment businesses (e.g., theaters, museum), remain close",,
8-5-2020,EmployeesWearMask,,,b. Employees and vendors in customer-facing areas must wear face coverings over their nose and mouth at all times,"See comment on Non-Essential businesses closed: Instead of making everybody wear a mask already then, maybe just start doingthat at this time?",
8-5-2020,TakeawayAndOutdoorOnly,1-6-2020,activities on the right,"see above + Fitness centers, gymnasiums, recreation centers, sports facilities, and exercise facilitiesmay reopen for outdoor activities only. Indoor activities are prohibited",No way to distinguish these two activity types,
8-5-2020,BeachesClosed,17-5-2020,VirginiaBeach,For all others: a. Require beachgoers to practice physical distancing of at least six feet betweeneach person unless they are with members of the same household. b. Prohibit gatherings of more than 10 people.,Sec-ond part already encapsulated by keepGroupsSmall norm. First part by social distancing,
